Sample.name,Sample_ID,nm,FF,Freezing.temperature,Particle.ratio,nM_corrected,Control,Filtered,Dilution.factor,Location,Size,Sample
Milliq_S2_b5,Milliq_S2_b5,347.04,0.23,-21.52,1.0,347.04,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,1423.79,0.66,-25.57,1.0,1423.79,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,6085.8,0.99,-29.95,1.0,6085.8,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,1235.68,0.6,-25.17,1.0,1235.68,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,1167.29,0.58,-25.04,1.0,1167.29,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,1741.67,0.73,-26.05,1.0,1741.67,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,3939.88,0.95,-29.15,1.0,3939.88,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,843.36,0.47,-24.22,1.0,843.36,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,582.95,0.35,-23.18,1.0,582.95,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,1596.07,0.7,-26.01,1.0,1596.07,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,276.85,0.19,-21.1,1.0,276.85,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,1307.77,0.63,-25.43,1.0,1307.77,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,1550.87,0.69,-25.81,1.0,1550.87,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,3156.16,0.91,-28.19,1.0,3156.16,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,742.69,0.43,-23.85,1.0,742.69,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,1507.15,0.68,-25.67,1.0,1507.15,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,,,,1.0,,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,100.95,0.07,-18.4,1.0,100.95,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,1691.35,0.72,-26.04,1.0,1691.35,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,3696.78,0.94,-28.45,1.0,3696.78,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,718.66,0.42,-23.85,1.0,718.66,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,459.79,0.29,-22.21,1.0,459.79,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,767.15,0.44,-23.86,1.0,767.15,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,440.32,0.28,-22.12,1.0,440.32,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,131.25,0.09,-19.09,1.0,131.25,Yes,Yes,1.0,Site2,b_5_m,S2
S2_b5,S2_b5,178.04,0.13,-5.37,1.0,178.04,No,,1.0,Site2,b_5_m,S2
S2_b5,S2_b5,869.77,0.48,-5.92,1.0,869.77,No,,1.0,Site2,b_5_m,S2
S2_b5,S2_b5,2231.97,0.81,-6.14,1.0,2231.97,No,,1.0,Site2,b_5_m,S2
S2_b5,S2_b5,1235.68,0.6,-5.99,1.0,1235.68,No,,1.0,Site2,b_5_m,S2
S2_b5,S2_b5,1964.41,0.77,-6.09,1.0,1964.41,No,,1.0,Site2,b_5_m,S2
S2_b5,S2_b5,2389.01,0.83,-6.14,1.0,2389.01,No,,1.0,Site2,b_5_m,S2
S2_b5,S2_b5,4237.41,0.96,-6.19,1.0,4237.41,No,,1.0,Site2,b_5_m,S2
S2_b5,S2_b5,2567.05,0.85,-6.16,1.0,2567.05,No,,1.0,Site2,b_5_m,S2
S2_b5,S2_b5,2772.59,0.88,-6.16,1.0,2772.59,No,,1.0,Site2,b_5_m,S2
S2_b5,S2_b5,1642.86,0.71,-6.08,1.0,1642.86,No,,1.0,Site2,b_5_m,S2
S2_b5,S2_b5,1307.77,0.63,-6.02,1.0,1307.77,No,,1.0,Site2,b_5_m,S2
S2_b5,S2_b5,626.67,0.38,-5.87,1.0,626.67,No,,1.0,Site2,b_5_m,S2
S2_b5,S2_b5,383.58,0.25,-5.73,1.0,383.58,No,,1.0,Site2,b_5_m,S2
S2_b5,S2_b5,459.79,0.29,-5.77,1.0,459.79,No,,1.0,Site2,b_5_m,S2
S2_b5,S2_b5,276.85,0.19,-5.63,1.0,276.85,No,,1.0,Site2,b_5_m,S2
S2_b5,S2_b5,86.05,0.06,-5.09,1.0,86.05,No,,1.0,Site2,b_5_m,S2
S2_b5,S2_b5,146.67,0.1,-5.26,1.0,146.67,No,,1.0,Site2,b_5_m,S2
S2_b5,S2_b5,671.87,0.4,-5.89,1.0,671.87,No,,1.0,Site2,b_5_m,S2
S2_b5,S2_b5,1040.21,0.54,-5.97,1.0,1040.21,No,,1.0,Site2,b_5_m,S2
S2_b5,S2_b5,767.15,0.44,-5.89,1.0,767.15,No,,1.0,Site2,b_5_m,S2
S2_b5,S2_b5,1383.98,0.65,-6.05,1.0,1383.98,No,,1.0,Site2,b_5_m,S2
S2_b5,S2_b5,3313.21,0.92,-6.17,1.0,3313.21,No,,1.0,Site2,b_5_m,S2
S2_b5,S2_b5,3015.68,0.9,-6.17,1.0,3015.68,No,,1.0,Site2,b_5_m,S2
S2_b5,S2_b5,,,,1.0,,No,,1.0,Site2,b_5_m,S2
S2_b5,S2_b5,2091.49,0.79,-6.1,1.0,2091.49,No,,1.0,Site2,b_5_m,S2
S2_b5,S2_b5,1550.87,0.69,-6.08,1.0,1550.87,No,,1.0,Site2,b_5_m,S2
S2_b5,S2_b5,817.47,0.46,-5.92,1.0,817.47,No,,1.0,Site2,b_5_m,S2
S2_b5,S2_b5,499.59,0.31,-5.78,1.0,499.59,No,,1.0,Site2,b_5_m,S2
S2_b5,S2_b5,347.04,0.23,-5.71,1.0,347.04,No,,1.0,Site2,b_5_m,S2
S2_b5,S2_b5,421.14,0.27,-5.74,1.0,421.14,No,,1.0,Site2,b_5_m,S2
S2_b5,S2_b5,243.1,0.17,-5.61,1.0,243.1,No,,1.0,Site2,b_5_m,S2
S2_b5,S2_b5,56.75,0.04,-5.07,1.0,56.75,No,,1.0,Site2,b_5_m,S2
S2_b5,S2_b5,116.02,0.08,-5.2,1.0,116.02,No,,1.0,Site2,b_5_m,S2
S2_b5,S2_b5,540.62,0.33,-5.79,1.0,540.62,No,,1.0,Site2,b_5_m,S2
S2_b5,S2_b5,1167.29,0.58,-5.99,1.0,1167.29,No,,1.0,Site2,b_5_m,S2
S2_b5,S2_b5,1464.82,0.67,-6.07,1.0,1464.82,No,,1.0,Site2,b_5_m,S2
S2_b5,S2_b5,1848.39,0.75,-6.09,1.0,1848.39,No,,1.0,Site2,b_5_m,S2
S2_b5,S2_b5,5161.6,0.98,-6.2,1.0,5161.6,No,,1.0,Site2,b_5_m,S2
S2_b5,S2_b5,3696.78,0.94,-6.17,1.0,3696.78,No,,1.0,Site2,b_5_m,S2
S2_b5,S2_b5,1741.67,0.73,-6.08,1.0,1741.67,No,,1.0,Site2,b_5_m,S2
S2_b5,S2_b5,1102.24,0.56,-5.97,1.0,1102.24,No,,1.0,Site2,b_5_m,S2
S2_b5,S2_b5,980.94,0.52,-5.95,1.0,980.94,No,,1.0,Site2,b_5_m,S2
S2_b5,S2_b5,924.2,0.5,-5.93,1.0,924.2,No,,1.0,Site2,b_5_m,S2
S2_b5,S2_b5,718.66,0.42,-5.89,1.0,718.66,No,,1.0,Site2,b_5_m,S2
S2_b5,S2_b5,582.95,0.35,-5.84,1.0,582.95,No,,1.0,Site2,b_5_m,S2
S2_b5,S2_b5,311.49,0.21,-5.7,1.0,311.49,No,,1.0,Site2,b_5_m,S2
S2_b5,S2_b5,210.17,0.15,-5.56,1.0,210.17,No,,1.0,Site2,b_5_m,S2
S2_b5,S2_b5,28.07,0.02,-4.95,1.0,28.07,No,,1.0,Site2,b_5_m,S2
S2_b5_10x,S2_b5,1160.15,0.08,-5.49,1.0,1160.15,No,,10.0,Site2,b_5_m,S2
S2_b5_10x,S2_b5,5829.52,0.35,-5.94,1.0,5829.52,No,,10.0,Site2,b_5_m,S2
S2_b5_10x,S2_b5,7186.62,0.42,-5.99,1.0,7186.62,No,,10.0,Site2,b_5_m,S2
S2_b5_10x,S2_b5,12356.83,0.6,-6.1,1.0,12356.83,No,,10.0,Site2,b_5_m,S2
S2_b5_10x,S2_b5,19644.08,0.77,-6.16,1.0,19644.08,No,,10.0,Site2,b_5_m,S2
S2_b5_10x,S2_b5,36967.85,0.94,-6.26,1.0,36967.85,No,,10.0,Site2,b_5_m,S2
S2_b5_10x,S2_b5,,,,1.0,,No,,10.0,Site2,b_5_m,S2
S2_b5_10x,S2_b5,20914.88,0.79,-6.16,1.0,20914.88,No,,10.0,Site2,b_5_m,S2
S2_b5_10x,S2_b5,16428.58,0.71,-6.14,1.0,16428.58,No,,10.0,Site2,b_5_m,S2
S2_b5_10x,S2_b5,8174.73,0.46,-6.04,1.0,8174.73,No,,10.0,Site2,b_5_m,S2
S2_b5_10x,S2_b5,17416.69,0.73,-6.14,1.0,17416.69,No,,10.0,Site2,b_5_m,S2
S2_b5_10x,S2_b5,6266.72,0.38,-5.96,1.0,6266.72,No,,10.0,Site2,b_5_m,S2
S2_b5_10x,S2_b5,4211.37,0.27,-5.81,1.0,4211.37,No,,10.0,Site2,b_5_m,S2
S2_b5_10x,S2_b5,3114.86,0.21,-5.75,1.0,3114.86,No,,10.0,Site2,b_5_m,S2
S2_b5_10x,S2_b5,2101.72,0.15,-5.62,1.0,2101.72,No,,10.0,Site2,b_5_m,S2
S2_b5_10x,S2_b5,280.71,0.02,-5.1,1.0,280.71,No,,10.0,Site2,b_5_m,S2
S2_b5_10x,S2_b5,1780.42,0.13,-5.56,1.0,1780.42,No,,10.0,Site2,b_5_m,S2
S2_b5_10x,S2_b5,5406.2,0.33,-5.94,1.0,5406.2,No,,10.0,Site2,b_5_m,S2
S2_b5_10x,S2_b5,7671.52,0.44,-6.01,1.0,7671.52,No,,10.0,Site2,b_5_m,S2
S2_b5_10x,S2_b5,11022.38,0.56,-6.06,1.0,11022.38,No,,10.0,Site2,b_5_m,S2
S2_b5_10x,S2_b5,33132.09,0.92,-6.22,1.0,33132.09,No,,10.0,Site2,b_5_m,S2
S2_b5_10x,S2_b5,30156.84,0.9,-6.22,1.0,30156.84,No,,10.0,Site2,b_5_m,S2
S2_b5_10x,S2_b5,14648.16,0.67,-6.12,1.0,14648.16,No,,10.0,Site2,b_5_m,S2
